[16/Jan/2026:13:52:41 -0800] - - 301 - HEAD http default.him-edu.local "/" [Client 172.19.0.1] [Length 0] [Gzip -] [Sent-to 10.42.0.1] "curl/8.14.1" "-"
[16/Jan/2026:16:17:31 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:37 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:38 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:38 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:38 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:38 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:38 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:38 -0800] - - 301 - GET http default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
[16/Jan/2026:16:17:38 -0800] - 301 301 - GET https default.him-edu.local "/" [Client 172.19.0.1] [Length 166] [Gzip -] [Sent-to 10.42.0.1] "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "-"
